,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,mean_price/m,std_price/m,district_class
243,1200,500.0,88,3,2,1,1,0,0,0,29.96586380462771,14.511229657479197,D
244,800,100.0,35,2,2,1,1,0,0,0,57.232647234429116,30.03211462514222,D
245,1400,200.0,52,2,2,1,1,1,0,1,29.32834936571854,14.841037015136015,D
246,850,400.0,55,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
247,1300,524.8779401412505,60,3,2,1,1,0,0,0,30.058304914488353,15.139146507512537,D
248,1000,352.0,53,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
249,1200,380.0,49,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
250,1200,490.0,88,3,2,1,1,1,0,0,29.96586380462771,14.511229657479197,D
251,1000,500.0,63,3,2,1,1,1,0,1,30.058304914488353,15.139146507512537,D
252,1250,477.8921403830333,55,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
253,1300,410.57845261331056,47,2,2,1,1,0,0,1,36.99486182214457,21.366743561269978,D
254,1000,412.0,50,2,2,1,1,0,0,1,29.32834936571854,14.841037015136015,D
255,1180,420.0,47,2,2,1,1,1,0,0,36.99486182214457,21.366743561269978,D
256,600,325.0,50,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
257,1100,340.0,55,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
258,1200,450.0,70,2,2,1,1,0,0,0,29.89023813563203,15.687458326582117,B
259,1000,313.3012877629876,38,2,2,1,1,0,0,0,57.232647234429116,30.03211462514222,D
260,1700,300.0,53,2,2,1,1,0,0,1,29.32834936571854,14.841037015136015,D
261,900,260.0,50,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
262,1200,360.5681944537762,42,2,2,1,1,0,0,1,36.99486182214457,21.366743561269978,D
263,1300,507.2934035984905,58,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
264,1600,507.8556174636335,56,2,2,1,1,0,0,1,29.32834936571854,14.841037015136015,D
265,1100,360.0,62,2,2,1,1,1,0,1,30.058304914488353,15.139146507512537,D
266,1100,360.0,62,2,2,1,1,0,0,1,30.058304914488353,15.139146507512537,D
267,850,365.773790458696,45,2,2,1,1,1,0,0,36.99486182214457,21.366743561269978,D
268,5500,1108.0,120,3,2,1,1,1,1,1,32.40567356380175,15.23699701490716,D
269,880,320.0,56,3,2,1,1,0,0,1,29.32834936571854,14.841037015136015,D
270,650,190.0,45,1,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
271,750,190.0,40,1,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
272,1500,536.9757737465192,60,3,2,1,1,1,0,1,30.058304914488353,15.139146507512537,D
273,840,198.0,57,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
274,800,220.0,60,2,2,1,1,0,0,0,30.058304914488353,15.139146507512537,D
